Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.CM.6162	0.041560994229964	0	0.0011124786806083	0.010642666503422	0	0.25158639778525	0.01824574431141	0.041424911570031	0.0031710761679661	0	0.071769824271222	0	0.014462803263509	0.11756318576555	0.085404905502305	0.24229503128516	0	0	0.043152540743865	0	0	0.057607439919742	0.016	0.21420882346425785	0.9758418334988592
TCGA.AZ.6598	0.042008673645145	0	0	0.02644326859208	0	0.16951359985549	0.004939415736987	0.089773753212914	0.016910132293659	0	0.076150487702051	0.035418332224882	0.0035742339792711	0.17941045158721	0.079241395076071	0.21800808030953	0	0	0.058608175784711	0	0	0	0.088	0.1177954151481034	0.9923020181980611
TCGA.CM.6676	0.029326069633965	0	0	0.0049160366306566	0	0.1626636587527	0.012458759778575	0.0075054687845748	0.048940196640966	0	0.066278856189145	0	0	0.43716746968044	0.038533084937863	0.13217454938774	0	0	0	0.060035849583364	0	0	0.084	0.11996735588931415	0.9923279099550049
TCGA.D5.6538	0.043878628995781	0	0	0.13245867599316	0	0.015666697760248	0	0.12432310651615	0.03927178728024	0	0.086354944282717	0	0.014085139147571	0.23134870464391	0	0.18331414645383	0.048360819659517	0	0	0.080937349266884	0	0	0.935	-0.0292	1.0014608985526965
TCGA.A6.A5ZU	0.056637097690038	0	0.041674351280448	0.036324908845356	0	0.058715742097823	0.0044668465953183	0.045134535026525	0.036716529409586	0	0.091887570148428	0	0	0.38358749441105	0.053934632802072	0.18355675615564	0	0	0.0073635355377208	0	0	0	0.067	0.13108374942373588	0.991059228001771
TCGA.CM.4751	0.0019901440525586	0	0.051748165424568	0.10690839397329	0	0.18495326908285	0	0.19008568699502	0.015000799177668	0	0	0.049143382494698	0.035234017287188	0.067490202263692	0.12570535135528	0.13048082303828	0.015925678982622	0	0.025334085872281	0	0	0	0.097	0.1132911770274106	0.9949931693348268
TCGA.CK.6747	0.020711683764723	0	0.037541461684522	0.055449106486403	0	0.29564283154813	0	0.037645405956449	0.11537718316168	0	0.079414463890673	0	0.03401545106161	0.088782390288077	0.065614794781589	0.098677829017356	0.014395697663669	0	0	0.056731700695112	0	0	0.538	0.023155610374791528	1.0018188473600294
TCGA.G4.6294	0.048655088220998	0	0.014735295162842	0.0037733609502015	0	0.29575555749574	0.047279042620642	0.046276560921456	0	0	0.084207214569754	0	0	0.11880576245729	0.020127996409023	0.27265712657405	0.026083179971163	0	0	0.021643814646839	0	0	0.717	0.0008	1.0015819613722938
TCGA.CM.6677	0.060163251573554	0	0.063539502413331	0.031150240947639	0	0.13740181155285	0.043340212406956	0.098646902733821	0.03972688460369	0	0.088041036174438	0	0	0.15946224857377	0.069743662508635	0.15706540081106	0.0006	0.0049097843378008	0.027227407460309	0.019031112660598	0	0	0.178	0.08356397927081181	0.996236864822933
TCGA.G4.6299	0.009213948672051	0	0.020982501879054	0.1682702298015	0	0.10038006099336	0	0.13803017760776	0.049209815243461	0	0.049526008640656	0	0	0.17707162031244	0.070982767869652	0.21633286898007	0	0	0	0	0	0	0.025	0.1895268631386279	0.9816149135886878
TCGA.D5.6926	0.0007	0	0	0	0	0.17757229893802	0	0.010686109228193	0.046931290667446	0	0.12229260989072	0	0	0.35977856566046	0.066809584965336	0.064322028140688	0.0078124374661343	0	0	0.11333116030983	0	0.029808063160013	0.023	0.1944630516792402	0.9812180048136893
TCGA.AD.6889	0.031449372699361	0	0.0070492753045064	0	0	0.26250134520363	0	0.045592873983169	0.075301675630482	0	0.11298143863022	0	0	0.23688139424922	0.040191462411473	0.064790212063816	0	0.0010445269507853	0	0.10574191351892	0	0.01647450935442	0.525	0.024791903896359355	1.0029307839514854
TCGA.F4.6855	0	0.01093531063069	0.01426116469136	0	0	0.26207417118944	0	0.035140018934705	0.048552020825956	0	0.03893048692755	0.071386930410819	0.0853848173799	0.29178661930156	0.0061477886628478	0.1100231923106	0.0096784702530025	0	0.0033692022207418	0	0.012329806260821	0	0.254	0.06416549241590037	0.9977661730187531
TCGA.DM.A1D6	0.053475966393428	0	0.022314073806855	0	0	0.43852662019863	0	0.050368062634521	0.044769606761853	0	0.092469779332557	0.016364159529493	0.063511518311965	0.070187110125841	0.015833527666079	0.024389349754344	0.018932329727941	0	0	0.088396362615054	0.0005	0	0.669	0.00691111181193126	0.9998029653056243
TCGA.DM.A1HB	0.038511101293082	0	0	0	0	0.22770847960194	0	0.0089810587136147	0.067581105850308	0	0.067593767605314	0	0	0.20308834962835	0.01425555041032	0.087807381732353	0	0.018895325868564	0	0.26268323257899	0	0.0028946467171589	0.284	0.05711579045971384	0.9980915153162948
TCGA.A6.2675	0.0004	0.01656091590874	0.016966633373297	0	0	0.1913541597441	0	0.037979788078571	0.063674412099189	0	0.039447087747978	0.012419288310146	0	0.26124149453247	0.017765499467075	0.27650806360101	0.001	0	0	0.06473040409384	0	0	0.022	0.19729616010878023	0.9800681903761135
TCGA.CK.5915	0.028983499629217	0	0	0	0	0.44837697326194	0.046217472273456	0.020675660518019	0.018929321424183	0	0.0558975858913	0	0.046062090012351	0.0094004584664679	0	0.20285341615023	0.0071971845089594	0.07371306196792	0	0.039715781552671	0.0019774943432865	0	0.849	-0.0165	1.0019572462817539
TCGA.AM.5820	0.057897627415162	0	0.018313905059138	0	0	0.098927819012984	0	0.036008945810778	0.018391455917373	0	0.04403665673806	0	0	0.13775331226858	0.05861894910038	0.42105257798359	0	0.063747242163177	0	0.031568876149312	0	0.01368263238146	0.742	-0.0032	1.002523988158444
TCGA.AA.3662	0.046552331818146	0	0.0027787412022103	0.061833305693189	0	0.091819047251053	0	0.067926394116922	0	0	0.078612993052803	0	0	0.14249374141561	0.09600493060023	0.28555051019523	0	0	0	0.069044826129788	0	0.057383178524816	0.11	0.10881635077564505	0.9938227836819479
TCGA.G4.6588	0.028866505037273	0	0	0.016793403076176	0	0.18070868128822	0	0.038897021282212	0.063597982608406	0	0.088385969783445	0	0	0.26992971963239	0.059693300552957	0.10418055657195	0	0	0	0.11135184605072	0	0.037595014116253	0.046	0.15131094366691974	0.987533609911772
TCGA.A6.6652	0	0.0060145684127286	0	0	0	0.23518005720083	0	0.034654064979215	0.095145751909496	0	0.12839501182496	0	0	0.38919286845824	0.0036042217713339	0.0070461998917358	0.013118139541198	0	0	0.080895808220658	0.0067533077896066	0	0.269	0.06058898599599659	0.9972618896973139
TCGA.D5.6539	0.033545628154274	0	0.16644940580042	0.065963285408349	0	0.17944617432209	0	0.036665072033486	0.093704457491811	0	0.058947882350702	0	0.034242534836055	0.010833267361727	0.0066995396781019	0.26147434072946	0	0.043536707802102	0	0.008491704031421	0	0	0.659	0.008435120363167606	1.0048082241743177
TCGA.D5.6920	0.051300614608037	0	0.11016325799579	0.002947222721656	0	0.15356208106007	0.013814865777885	0.060262268086691	0.10188322880592	0	0.096784864572704	0	0	0.18542655901831	0.012974682603919	0.10898639147464	0	0.022591445652242	0.0045885706897752	0.063385203408592	0	0.011328743523774	0.314	0.05121306787596497	1.0041983605176303
TCGA.A6.6141	0.016108604168247	0.064031643259408	0.016666700056954	0.16348880582579	0	0.11728060331244	0	0.078781157186118	0.13628867832622	0	0.035204036383793	0.011379375643256	0.03367321579966	0.18140744043314	0.08976754875854	0.045224084447567	0.010698106398868	0	0	0	0	0	0.353	0.045057041148652215	1.0047013343330409
TCGA.F4.6807	0.069102306236561	0	0.016924429124448	0.080408606716269	0	0.10036197875844	0	0.087100847207833	0.072579652726664	0	0.053242378771292	0	0	0.15261914129118	0.11512376103999	0.23964324717426	0	0	0.012893650953066	0	0	0	0.033	0.1693395576151446	0.9846927538770984
TCGA.G4.6627	0.11115085317319	0	0.04190246318456	0.047365305742786	0	0.26518748730448	0	0.10434163538861	0.040398540392503	0	0.049995747603372	0	0	0.022973371397035	0.10168251729178	0.15189055719509	0	0.01404694667657	0.042988957595447	0	0	0.0060756170545834	0.112	0.10682910828409697	0.9960960410892845
TCGA.CA.6715	0.068351649862387	0	0.09450201247004	0	0	0.041677694139942	0	0.031518294788099	0.11699213943399	0	0.071889874909302	0	0	0.3541116201048	0.0067265134775201	0.059486690590637	0	0	0	0.15399567611845	0	0.0007	0.405	0.03842566880184925	0.9985209097284687
TCGA.CK.5912	0.082222813205654	0	0.057561627221722	0	0	0.16296448404343	0.026738574311234	0.033992595001045	0.019352060659808	0	0.060816681961987	0	0	0.3699019856327	0.02673584988936	0.14718032763289	0	0	0.012533000440173	0	0	0	0.288	0.05608798563343558	0.9981151811187811
TCGA.F4.6856	0.041883947318113	0	0.016891546689765	0.14533826147206	0	0.25408242842436	0.021231235235383	0.085960288219937	0.067074680965066	0	0.08252485804443	0	0.025564518527169	0.12283926195278	0.06229035371206	0.073720731252628	0	0	0.0006	0	0	0	0.583	0.018089426014068908	1.0040236164728775
TCGA.AA.A02K	0.048966660444436	0	0	0.13022196107371	0	0.039746123551404	0	0.033726454625821	0.12152896988811	0	0.095650580496462	0	0	0.18437368034069	0	0.17883820826323	0	0.02597526090943	0	0.089280906654347	0	0.051691193752359	0.915	-0.0262	1.0039087838879035
TCGA.CM.6678	0.067532584702662	0	0.048797009704871	0	0	0.19519859767642	0	0.011157468004455	0.10470600707291	0	0.077115814278142	0	0.024479669829749	0.27293895489993	0	0.0730624448218	0	0	0	0.12501144900906	0	0	0.295	0.05479255354575151	0.9975780456056091
TCGA.A6.5659	0.0023048512295953	0.016453724100598	0.025128777295855	0	0	0.18179836726011	0.054589678554531	0.041725123125136	0.031340023176935	0	0.084211279997585	0.0046879345527071	0	0.3502174145961	0.01744476967131	0.10165579065045	0.022557789176597	0	0	0.037704550199361	0.028179926413125	0	0.174	0.0853958401482038	0.9954090269524102
TCGA.AD.6899	0.043705373067711	0	0.0096649020615366	0	0	0.14358757074816	0	0.029118311230844	0.045179793799606	0	0.065504063615509	0	0	0.33952838311454	0.13108187504848	0.18719072913428	0	0	0.0054389981793284	0	0	0	0.014	0.22120935243072118	0.97484752603671
TCGA.AA.A01P	0.0073633983009526	0.011496766366669	0.0022034964073181	0.094098921980664	0	0.10705827474511	0	0.1190369566023	0.057197218033497	0	0.049389599499004	0.030777149990057	0	0.17373478958928	0.15217021751113	0.15706911966759	0.0020709107277487	0	0	0.024650598480244	0	0.011682582098439	0.005	0.28882201298045346	0.9574586424313332
TCGA.CA.6719	0.024740039508145	0	0.030139142437633	0.044330683578081	0	0.081943088914438	0	0.016342820108312	0.075664188436139	0	0.042848399181744	0	0	0.52389391283323	0.066790599379725	0.093307125622553	0	0	0	0	0	0	0.013	0.22711808468364775	0.9754195029919176
TCGA.AA.3509	0.023595390174792	0	0.038810911528857	0	0	0.18593704915424	0.023983419069045	0.069929534934611	0.053307934278857	0	0.060589947479284	0	0	0.21423960736685	0.10599467340873	0.18065130170721	0	0.0038365309492019	0	0.021892628360431	0	0.017231071587892	0.254	0.06429061312737964	0.998943076094245
TCGA.AD.6964	0.0048333502931521	0.0042120292894057	0	0.063544250456956	0	0.11752440773402	0.0014824187392704	0.099622675729267	0.036465627621781	0	0.019257091960114	0.0014610376504336	0	0.14491598028509	0.14843315113979	0.34535818092147	0.0084827991090712	0	0.0044069990701926	0	0	0	0.003	0.34053702777757466	0.9432557513255052
TCGA.CM.6169	0	0.0083806966999597	0.0071657619451786	0.025151535934486	0	0.10770914292179	0.05473561949631	0.05370602866163	0.046986382902593	0	0.044182222592796	0	0	0.34215080150915	0.098997102082738	0.1613373493946	0	0	0.043002653034119	0	0	0.0064947028246592	0.008	0.25005654215572326	0.9674354944108624
TCGA.A6.5665	0.070919905877658	0	0.05459635059731	0.14494091501035	0	0.18994383869296	0.017640259295212	0.13873499439686	0.02103031094664	0	0.11348280462194	0	0.028762931981099	0.055597447593762	0.04284005864381	0.079757544963161	0	0.01806207890382	0	0.023690558475425	0	0	0.303	0.05319193768868073	1.004426827178474
