Composite.Element.Name	Composite.Element.Database.Entry[hugo]
ADXCRPD.12725.C1_at	GRM8
ADXCRPD.13382.C1_s_at	NFX1
ADXCRPD.12726.C1_s_at	CUL4B
ADXCRPD.13383.C1_at	
ADXCRPD.12727.C1_at	FABP5L3
ADXCRPD.13384.C1_at	SLC26A3
ADXCRPD.13384.C1_s_at	
ADXCRPD.12728.C1_x_at	
ADXCRPD.12729.C1_at	PAXIP1
ADXCRPD.13386.C1_at	LOC388796
ADXCRPD.13387.C1_at	
ADXCRPD.13388.C1_at	
ADXCRPD.13389.C1_at	C18orf45
ADXCRPD.3710.C1_s_at	CCNYL1
ADXCRPD.3711.C1_at	
ADXCRAD_BG471327_at	RC74
ADXCRAD_BG471327_s_at	INTS9
ADXCRPD.3712.C1_s_at	SCML1
ADXCRPD.3713.C1_s_at	LOC727901
ADXCRPD.4370.C1_at	POMP
ADXCRPD.4370.C1_x_at	POMP
ADXCRPD.4371.C1_at	
ADXCRPD.4371.C1_x_at	
ADXCRPD.3716.C1_s_at	C1orf80
ADXCRPD.4372.C1_s_at	FYN
ADXCRPD.3717.C1_s_at	CLK3
ADXCRPD.4373.C1_s_at	ABCB8
ADXCRPD.4374.C1_at	MAML3
ADXCRPD.4375.C1_at	GMIP
ADXCRPD.12730.C1_at	
ADXCRPD.12731.C1_x_at	
ADXCRPD.4377.C1_at	LASS5
ADXCRPD.4377.C1_s_at	LASS5
ADXCRPD.12732.C1_at	PRKDC
ADXCRPD.12732.C1_s_at	LOC731751
ADXCRPD.12733.C1_at	PRPF38B
ADXCRPD.4379.C1_s_at	ARHGAP27
ADXCRPD.12734.C1_at	
ADXCRPD.12734.C1_s_at	
ADXCRPD.12734.C1_x_at	
ADXCRPD.13391.C1_at	
ADXCRPD.12735.C1_at	IQGAP2
ADXCRPD.13392.C1_at	
ADXCRPD.13392.C1_s_at	
ADXCRPD.12737.C1_at	RSL1D1
ADXCRPD.13394.C1_x_at	PDE4D
ADXCRPD.12738.C1_s_at	RBMS3
ADXCRPD.13395.C1_at	ZNF575
ADXCRPD.12739.C1_s_at	ZRANB1
ADXCRPD.13397.C1_at	
ADXCRPD.13398.C1_at	BIN3
ADXCRPD.3720.C1_at	ATP10D
ADXCRAD_BX095565_s_at	ATP10D
ADXCRPD.3721.C1_s_at	PNKD
ADXCRPD.3722.C1_s_at	CYLD
ADXCRPD.3723.C1_at	FARP1
ADXCRPD.3723.C1_s_at	FARP1
ADXCRPD.4380.C1_s_at	CSE1L
ADXCRAD_BX117609_s_at	MMP3
ADXCRPD.3726.C1_s_at	NDEL1
ADXCRPD.3727.C1_at	PLEKHA3
ADXCRPD.3729.C1_at	
ADXCRPD.4385.C1_at	NCOA1
ADXCRPD.12740.C1_at	B3GNT5
ADXCRPD.12742.C1_s_at	RBBP8
ADXCRPD.4388.C1_s_at	LMOD1
ADXCRPD.12743.C1_at	
ADXCRPD.4389.C1_s_at	
ADXCRPD.12744.C1_at	
ADXCRPD.12744.C1_x_at	
ADXCRPD.12745.C1_s_at	
ADXCRPD.12746.C1_at	FAT
ADXCRPD.12748.C1_at	FOSB
ADXCRPD.12748.C1_x_at	FOSB
ADXCRPD.12749.C1_at	MED12
ADXCRPD.3730.C1_s_at	ALDOB
ADXCRPD.3731.C1_at	RFPL1S
ADXCRPD.3734.C1_s_at	GPR143
ADXCRPD.4390.C1_s_at	NY-SAR-48
ADXCRPD.3735.C1_at	PTGFRN
ADXCRPD.4391.C1_s_at	PRRG2
ADXCRPD.4392.C1_at	REPS2
ADXCRAD_CK820947_s_at	REPS2
ADXCRPD.3737.C1_s_at	FAM89B
ADXCRPD.4393.C1_at	ULK1
ADXCRPD.4393.C1_x_at	ULK1
ADXCRPD.3738.C1_at	FLJ36874
ADXCRPD.4394.C1_at	TRIM66
ADXCRPD.12750.C1_at	
ADXCRPD.4396.C1_at	SERPINA3
ADXCRPD.12751.C1_at	YAP1
ADXCRPD.12752.C1_at	
ADXCRPD.12753.C1_at	
ADXCRPD.12753.C1_x_at	
ADXCRPD.4399.C1_at	RNF113A
ADXCRPD.12754.C1_at	
ADXCRPD.12755.C1_at	
ADXCRPD.12756.C1_at	ZNF774
ADXCRPD.12758.C1_at	SNX9
ADXCRPD.3741.C1_s_at	PNPLA3
ADXCRPD.3743.C1_s_at	TMEM30A
ADXCRPD.3744.C1_at	ODZ3
ADXCRPD.3744.C1_s_at	ODZ3
ADXCRPD.3745.C1_s_at	WDR74
ADXCRPD.3746.C1_s_at	FLJ12716
ADXCRPD.3749.C1_at	
ADXCRPD.12760.C1_x_at	KIAA0423
ADXCRPD.12761.C1_at	PLS1
ADXCRPD.12762.C1_at	MAML2
ADXCRPD.12764.C1_at	
ADXCRPD.12765.C1_at	
ADXCRPD.12767.C1_at	ZBTB20
ADXCRPD.12768.C1_at	DPRXP5
ADXCRPD.3751.C1_s_at	YIPF2
ADXCRPD.3752.C1_at	UBE3B
ADXCRPD.3754.C1_at	
ADXCRPD.3755.C1_s_at	TPP1
ADXCRPD.12770.C1_at	LOC729833
ADXCRPD.12771.C1_at	GAS2L3
ADXCRPD.12772.C1_at	ANKRD12
ADXCRPD.12772.C1_x_at	ANKRD12
ADXCRPD.12773.C1_at	MAST2
ADXCRPD.12774.C1_at	C12orf38
ADXCRPD.12775.C1_at	PHLPPL
ADXCRPD.12777.C1_at	ZFAND6
ADXCRPD.12778.C1_at	PTPRC
ADXCRPD.12779.C1_at	
ADXCRPD.3761.C1_at	ST6GALNAC6
ADXCRPD.3762.C1_s_at	HOXB8
ADXCRPD.3764.C1_at	
ADXCRPD.3764.C1_x_at	
ADXCRPD.3765.C1_at	
ADXCRAD_BM727891_s_at	NARFL
ADXCRPD.3768.C1_at	C9orf123
ADXCRPD.3769.C1_at	SGK
ADXCRPD.12780.C1_at	ETNK1
ADXCRPD.12782.C1_at	C15orf38
ADXCRPD.12783.C1_at	ZNF512
ADXCRPD.12784.C1_at	ZDHHC14
ADXCRPD.12785.C1_at	APITD1
ADXCRPD.12786.C1_at	NADSYN1
ADXCRPD.12787.C1_at	LOC728806
ADXCRPD.12788.C1_at	
ADXCRPD.12789.C1_at	LARP1
ADXCRPD.3770.C1_at	
ADXCRPD.3771.C1_at	TAF6L
ADXCRPD.3772.C1_s_at	MINA
ADXCRPD.3774.C1_at	ORAI1
ADXCRPD.3775.C1_at	PHYH
ADXCRPD.3776.C1_at	TM4SF5
ADXCRPD.3779.C1_at	LOC90379
ADXCRPD.12791.C1_x_at	CDKN2B
ADXCRPD.12792.C1_at	
ADXCRPD.12794.C1_at	RSRC1
ADXCRPD.12795.C1_at	
ADXCRPD.12796.C1_at	WFDC2
ADXCRPD.12797.C1_at	
ADXCRPD.12798.C1_at	OBFC2A
ADXCRPD.12798.C1_x_at	OBFC2A
ADXCRPD.3780.C1_at	MYLIP
ADXCRPD.3781.C1_s_at	SLC24A1
ADXCRPD.3782.C1_at	ZNF317
ADXCRAD_CK430256_s_at	ZNF317
ADXCRPD.3783.C1_s_at	HOXA10
ADXCRPD.3786.C1_at	SELT
ADXCRAD_BE180458_s_at	SELT
ADXCRPD.3786.C1_x_at	SELT
ADXCRPD.3788.C1_s_at	BRD2
ADXCRPD.3789.C1_s_at	C14orf135
ADXCRPD.3791.C1_at	
ADXCRPD.3792.C1_s_at	YPEL1
ADXCRPD.3793.C1_at	RPS6KB1
ADXCRPD.3796.C1_at	FLJ22662
ADXCRPD.3798.C1_s_at	GIT2
ADXCRPD.900.C1_at	
ADXCRPD.901.C1_at	
ADXCRAD_BU159800_s_at	ARL8B
ADXCRPD.905.C1_at	RP11-50D16.3
ADXCRPD.905.C1_s_at	LOC387921
ADXCRPD.906.C1_at	SEC22B
ADXCRPD.906.C1_s_at	SEC22B
ADXCRPD.909.C1_s_at	NUS1
ADXCRPD.910.C1_at	ARL2BP
ADXCRPD.911.C1_at	OR7E125P
ADXCRPD.912.C1_at	UTP11L
ADXCRPD.915.C1_at	CHMP4B
ADXCRPD.917.C1_at	MGC87042
ADXCRPD.919.C1_at	SNORA59B
ADXCRPD.922.C1_at	TBL1XR1
ADXCRPD.925.C1_at	
ADXCRPD.926.C1_s_at	C1orf31
ADXCRPD.928.C1_x_at	RDH14
ADXCRPD.929.C1_at	
ADXCRAD_BX475482_s_at	
ADXCRPD.930.C1_s_at	MYD88
ADXCRPD.931.C1_at	CHURC1
ADXCRPD.931.C1_x_at	CHURC1
ADXCRPD.934.C1_at	SMN1
ADXCRPD.936.C1_at	PMAIP1
ADXCRPD.937.C1_at	HIGD1A
ADXCRPD.943.C1_at	DDT
ADXCRPD.945.C1_s_at	ATP6V1C1
ADXCRPD.946.C1_at	FBXO25
ADXCRPD.948.C1_at	FUBP3
ADXCRPD.950.C1_at	COP1
ADXCRPD.950.C1_x_at	COP1
ADXCRPD.951.C1_s_at	NEIL1
ADXCRPD.952.C1_at	
ADXCRPD.952.C1_x_at	
ADXCRPD.953.C1_at	DAP
ADXCRPD.953.C1_x_at	DAP
ADXCRPD.954.C1_at	KCTD3
ADXCRAD_BQ433946_x_at	KCTD3
ADXCRAD_NM_000019_s_at	ACAT1
ADXCRPD.957.C1_at	ETS1
ADXCRPD.958.C1_at	BCL10
ADXCRPD.959.C1_s_at	PALM2-AKAP2
ADXCRPD.14000.C1_at	SMG5
ADXCRPD.14002.C1_at	LARP5
ADXCRPD.14003.C1_at	PCLKC
ADXCRPD.14004.C1_at	
ADXCRPD.14005.C1_at	FBXW4
ADXCRPD.14006.C1_at	ZDHHC3
ADXCRPD.14007.C1_at	APBB2
ADXCRPD.14007.C1_s_at	APBB2
ADXCRPD.14008.C1_at	
ADXCRPD.12.C1_at	G3BP1
ADXCRPD.13.C1_at	PLAC8
ADXCRPD.13.C1_x_at	PLAC8
ADXCRPD.14.C1_s_at	RBM27
ADXCRPD.16.C1_at	SMEK1
ADXCRPD.16.C1_x_at	SMEK1
ADXCRPD.960.C1_at	SLC35A1
ADXCRPD.963.C1_at	AK3L1
ADXCRPD.965.C1_s_at	NEDD4L
ADXCRPD.967.C1_at	VPS33A
ADXCRPD.967.C1_s_at	VPS33A
ADXCRPD.968.C1_at	
ADXCRPD.969.C1_at	RASSF5
ADXCRAD_BM768389_at	RASSF5
ADXCRAD_BM768389_s_at	RASSF5
ADXCRPD.14010.C1_s_at	CTSB
ADXCRPD.14010.C1_x_at	CTSB
ADXCRPD.14013.C1_at	USP18
ADXCRPD.14014.C1_s_at	C6orf64
ADXCRPD.14015.C1_at	
ADXCRPD.14015.C1_x_at	
ADXCRPD.14016.C1_at	DPP3
ADXCRPD.14017.C1_s_at	WDR20
ADXCRPD.14018.C1_s_at	
ADXCRPD.14019.C1_at	LOC730919
ADXCRPD.22.C1_x_at	NDUFB3
ADXCRPD.25.C1_at	KRTAP4-7
ADXCRPD.25.C1_x_at	KRTAP4-7
ADXCRPD.29.C1_at	LYRM2
ADXCRPD.29.C1_x_at	LYRM2
ADXCRPD.5000.C1_s_at	C20orf59
ADXCRPD.971.C1_s_at	ACTR2
ADXCRPD.5001.C1_at	AZI2
ADXCRPD.5003.C1_s_at	TRIB3
ADXCRPD.974.C1_at	CENPE
ADXCRPD.5004.C1_at	RCCD1
ADXCRPD.976.C1_s_at	REEP5
ADXCRPD.977.C1_at	MST150
ADXCRPD.978.C1_at	ATP6V1D
ADXCRPD.5008.C1_s_at	DGAT1
ADXCRPD.5009.C1_s_at	
ADXCRPD.14020.C1_at	
ADXCRPD.14020.C1_x_at	
ADXCRPD.14021.C1_at	CREBL2
ADXCRPD.14022.C1_at	
ADXCRPD.14023.C1_s_at	CREBL2
ADXCRPD.14024.C1_at	
ADXCRPD.14025.C1_s_at	DENR
ADXCRPD.14026.C1_at	MLLT6
ADXCRPD.14026.C1_x_at	
ADXCRPD.14027.C1_at	PSCD3
ADXCRPD.14028.C1_s_at	GEMIN5
ADXCRPD.14029.C1_at	
ADXCRPD.30.C1_at	TRAM1
ADXCRPD.35.C1_s_at	ME1
ADXCRPD.36.C1_at	TBC1D1
ADXCRPD.37.C1_at	
ADXCRPD.37.C1_x_at	
ADXCRPD.980.C1_at	VPS54
ADXCRPD.5010.C1_at	OR2A9P
ADXCRPD.5010.C1_x_at	OR2A9P
ADXCRPD.981.C1_at	RAP1GDS1
ADXCRPD.981.C1_s_at	RAP1GDS1
ADXCRPD.981.C1_x_at	RAP1GDS1
ADXCRAD_CA944466_s_at	MAPK9
ADXCRPD.5012.C1_at	MED14
ADXCRPD.5012.C1_x_at	MED14
ADXCRPD.983.C1_at	APOB
ADXCRPD.5013.C1_at	C1orf178
ADXCRPD.984.C1_at	TNFRSF8
ADXCRPD.984.C1_s_at	TNFRSF8
ADXCRPD.985.C1_at	CSNK2B
ADXCRPD.5015.C1_s_at	PMP22
ADXCRPD.987.C1_s_at	EAF2
ADXCRPD.5016.C1_s_at	UNC119
ADXCRPD.988.C1_at	
ADXCRPD.989.C1_at	
ADXCRPD.5018.C1_s_at	NOLA2
ADXCRPD.14030.C1_at	BICD1
ADXCRPD.14032.C1_at	FLJ10769
ADXCRPD.14033.C1_at	
ADXCRPD.14034.C1_at	KCMF1
ADXCRPD.14035.C1_s_at	KCNE3
ADXCRPD.14036.C1_at	CRTAP
ADXCRPD.14037.C1_at	TMEM16A
ADXCRPD.14038.C1_s_at	CLK2
ADXCRPD.14039.C1_at	DCTN5
ADXCRPD.5020.C1_at	DMTF1
ADXCRPD.5021.C1_at	PLEK2
ADXCRPD.993.C1_at	ALOX5
ADXCRPD.5023.C1_at	APOA1
ADXCRPD.5023.C1_x_at	APOA1
ADXCRPD.5024.C1_at	GSTA1
ADXCRPD.996.C1_at	TACC1
ADXCRPD.997.C1_at	TBCB
ADXCRPD.5026.C1_s_at	PGM5
ADXCRPD.998.C1_s_at	DISP1
ADXCRPD.5028.C1_at	GATAD2A
ADXCRAD_BM719829_s_at	GATAD2A
ADXCRPD.14040.C1_at	
ADXCRPD.14041.C1_at	USP22
ADXCRPD.14043.C1_at	METAP1
ADXCRPD.14043.C1_x_at	METAP1
ADXCRPD.14045.C1_at	ZMYND8
ADXCRPD.14046.C1_at	CSNK2A2
ADXCRPD.14047.C1_at	
ADXCRPD.14048.C1_at	LPIN1
ADXCRPD.51.C1_at	HSDL2
ADXCRPD.56.C1_s_at	PPP2CA
ADXCRPD.5030.C1_s_at	WWP2
ADXCRPD.5031.C1_s_at	STMN3
ADXCRPD.5032.C1_at	C16orf35
ADXCRPD.5033.C1_x_at	PI4KA
ADXCRPD.5035.C1_s_at	C11orf71
ADXCRPD.5036.C1_at	TIMP3
ADXCRPD.5038.C1_at	FLJ36874
ADXCRPD.5039.C1_x_at	ARL8A
ADXCRPD.14050.C1_at	DTX4
ADXCRPD.14052.C1_at	ALDH5A1
ADXCRPD.14052.C1_x_at	ALDH5A1
ADXCRPD.14053.C1_at	
ADXCRPD.14054.C1_s_at	
ADXCRPD.14055.C1_s_at	SR140
ADXCRPD.14056.C1_at	RPS6KA1
ADXCRPD.14057.C1_at	APPL2
ADXCRPD.14058.C1_at	C10orf97
ADXCRPD.14058.C1_s_at	C10orf97
ADXCRPD.14059.C1_at	RMND1
ADXCRPD.60.C1_s_at	C1orf19
ADXCRPD.63.C1_at	
ADXCRPD.66.C1_at	DEXI
ADXCRPD.67.C1_at	NDUFA7
ADXCRPD.68.C1_at	TNPO1
ADXCRPD.69.C1_at	ZCRB1
ADXCRPD.69.C1_s_at	ZCRB1
ADXCRPD.5040.C1_at	RABEPK
ADXCRPD.5040.C1_x_at	RABEPK
ADXCRPD.5042.C1_at	PBEF1
ADXCRPD.5042.C1_x_at	PBEF1
ADXCRPD.5043.C1_s_at	PVRL1
ADXCRPD.5044.C1_at	CXCL16
ADXCRPD.5044.C1_x_at	CXCL16
ADXCRAD_CR736968_s_at	ALDH6A1
ADXCRPD.13400.C1_s_at	
ADXCRPD.5046.C1_s_at	GCLC
ADXCRPD.13401.C1_at	RPS23
ADXCRPD.13401.C1_s_at	RPS23
ADXCRPD.5047.C1_at	C5orf25
ADXCRPD.5048.C1_s_at	TGS1
ADXCRPD.13403.C1_at	SPTBN1
ADXCRPD.5049.C1_at	HSD11B2
ADXCRPD.14060.C1_s_at	SMPDL3B
ADXCRPD.13404.C1_at	CROP
ADXCRPD.14061.C1_at	PLEK2
ADXCRPD.13406.C1_at	CNOT3
ADXCRPD.14063.C1_s_at	ARL6IP5
ADXCRPD.14064.C1_at	SMCR7L
ADXCRPD.14064.C1_s_at	SMCR7L
ADXCRPD.13409.C1_at	DSG2
ADXCRPD.14066.C1_at	ZNF131
ADXCRPD.14067.C1_at	POLR3C
ADXCRPD.14068.C1_at	IGF1R
ADXCRPD.74.C1_s_at	FASTKD2
ADXCRPD.79.C1_at	
ADXCRPD.79.C1_x_at	
ADXCRPD.5051.C1_s_at	JMJD2A
ADXCRPD.5052.C1_s_at	TDGF1
ADXCRPD.13410.C1_x_at	WDR66
ADXCRPD.5056.C1_at	LOC388630
ADXCRPD.13411.C1_at	DDB1
ADXCRPD.5057.C1_at	PIK3R4
ADXCRAD_CN313193_s_at	PIK3R4
ADXCRPD.13412.C1_s_at	PPAP2B
ADXCRPD.5058.C1_at	SPATA13
ADXCRAD_BI497364_s_at	SPATA13
ADXCRPD.14070.C1_at	ULK4
ADXCRPD.13414.C1_at	
ADXCRPD.14071.C1_at	TMEM106B
ADXCRPD.14071.C1_x_at	TMEM106B
ADXCRPD.13415.C1_at	CASP8
ADXCRPD.14072.C1_at	FLJ20323
ADXCRPD.13416.C1_at	
ADXCRPD.13416.C1_x_at	
ADXCRPD.14073.C1_at	CUTC
ADXCRPD.14073.C1_s_at	CUTC
ADXCRPD.14073.C1_x_at	CUTC
ADXCRPD.14075.C1_s_at	ING3
ADXCRPD.14077.C1_at	TCF12
ADXCRPD.14078.C1_at	TCF12
ADXCRPD.14079.C1_s_at	NHSL1
ADXCRPD.80.C1_s_at	PLK4
ADXCRPD.81.C1_s_at	DNAJC3
ADXCRPD.82.C1_at	PSMB6
ADXCRPD.83.C1_s_at	MRPS36
ADXCRAD_BM312584_s_at	CD2AP
ADXCRPD.86.C1_s_at	QPCT
ADXCRPD.4400.C1_s_at	
ADXCRPD.4401.C1_at	
ADXCRPD.4402.C1_at	TMCO4
ADXCRPD.4403.C1_s_at	SCNN1B
ADXCRPD.5060.C1_s_at	EBP
ADXCRPD.5061.C1_at	
ADXCRPD.5062.C1_s_at	MLF1IP
ADXCRPD.4407.C1_at	
ADXCRPD.4407.C1_x_at	
ADXCRPD.5063.C1_at	MRPS30
ADXCRPD.5064.C1_s_at	LRRC32
ADXCRPD.5065.C1_s_at	HMBS
ADXCRPD.5066.C1_at	BAIAP2L2
ADXCRPD.5066.C1_s_at	BAIAP2L2
ADXCRPD.13421.C1_s_at	NUP153
ADXCRPD.5067.C1_at	ARL4D
ADXCRPD.5067.C1_x_at	ARL4D
ADXCRPD.5068.C1_at	PTPRCAP
ADXCRPD.5068.C1_x_at	PTPRCAP
ADXCRPD.13423.C1_at	ICA1
ADXCRPD.5069.C1_s_at	CSF1R
ADXCRPD.14080.C1_at	
ADXCRPD.14081.C1_s_at	MEF2C
ADXCRPD.14082.C1_at	PTPRK
ADXCRPD.14084.C1_at	
ADXCRPD.14085.C1_at	
ADXCRPD.14085.C1_x_at	
ADXCRPD.14086.C1_at	TSR1
ADXCRPD.14087.C1_at	UBFD1
ADXCRPD.14088.C1_at	EFTUD1
ADXCRPD.14089.C1_at	MBD4
ADXCRPD.92.C1_at	C7orf11
ADXCRAD_CR745340_s_at	
ADXCRPD.96.C1_at	UPF3A
ADXCRAD_AJ708712_s_at	UPF3A
ADXCRPD.4410.C1_at	PDK2
ADXCRPD.98.C1_at	POLR2K
ADXCRPD.99.C1_s_at	HBXIP
ADXCRPD.4413.C1_at	
ADXCRPD.4413.C1_x_at	
ADXCRPD.4415.C1_s_at	TCOF1
ADXCRPD.4415.C1_x_at	TCOF1
ADXCRPD.5071.C1_at	FAM84A
ADXCRPD.4416.C1_s_at	
ADXCRPD.4417.C1_s_at	MYO15B
ADXCRPD.5073.C1_at	H3F3B
ADXCRPD.5073.C1_x_at	H3F3B
ADXCRPD.4418.C1_s_at	MRPL9
ADXCRPD.5074.C1_at	LOC284297
ADXCRPD.5074.C1_x_at	LOC284297
ADXCRPD.5076.C1_s_at	RASA4
ADXCRPD.14091.C1_at	KIAA0947
ADXCRPD.14091.C1_x_at	KIAA0947
ADXCRPD.14092.C1_s_at	NR3C2
ADXCRPD.13436.C1_at	MUC20
ADXCRPD.14093.C1_x_at	KIAA0556
ADXCRPD.14094.C1_s_at	UBL3
ADXCRPD.14096.C1_at	
ADXCRPD.14097.C1_at	BRI3BP
ADXCRPD.14098.C1_s_at	TAPT1
ADXCRPD.14099.C1_at	KIAA0247
ADXCRPD.14099.C1_s_at	KIAA0247
ADXCRPD.4420.C1_s_at	C3orf60
ADXCRPD.4421.C1_s_at	FKBP5
ADXCRPD.4423.C1_at	MARCKS
ADXCRPD.4423.C1_x_at	MARCKS
ADXCRPD.4424.C1_at	IDS
ADXCRPD.4424.C1_s_at	IDS
ADXCRPD.5080.C1_s_at	
ADXCRPD.4425.C1_at	CLSTN1
ADXCRPD.5081.C1_s_at	CLCC1
ADXCRPD.4426.C1_at	AMD1
ADXCRPD.4427.C1_s_at	HP1BP3
ADXCRPD.5083.C1_at	CBARA1
ADXCRPD.4428.C1_x_at	OSGIN1
ADXCRPD.4429.C1_at	
ADXCRPD.4429.C1_s_at	
ADXCRPD.5086.C1_s_at	RELA
ADXCRPD.5088.C1_at	CLIC4
ADXCRPD.13447.C1_at	KIAA1267
ADXCRPD.4430.C1_at	TMEM18
ADXCRPD.4430.C1_s_at	TMEM18
ADXCRPD.4431.C1_s_at	LOC348262
ADXCRPD.4432.C1_s_at	C21orf66
ADXCRPD.4433.C1_at	UBE2I
ADXCRPD.4434.C1_at	AP1M1
ADXCRPD.5090.C1_at	LBR
ADXCRAD_BQ688962_s_at	CABIN1
ADXCRPD.5092.C1_at	C1orf128
ADXCRPD.4437.C1_at	OSBPL10
ADXCRPD.4438.C1_s_at	NUP188
ADXCRPD.13450.C1_at	SLC9A1
ADXCRPD.13450.C1_s_at	SLC9A1
ADXCRPD.13451.C1_s_at	OSBPL2
ADXCRPD.5097.C1_s_at	UCK2
ADXCRPD.13452.C1_at	KIAA0664
ADXCRPD.5098.C1_at	TMEM164
ADXCRAD_CD106090_s_at	TMEM164
ADXCRPD.13453.C1_at	EXOC3
ADXCRPD.5099.C1_at	
ADXCRPD.13456.C1_s_at	RALGPS1
ADXCRPD.13457.C1_at	LPIN2
ADXCRPD.13458.C1_at	
ADXCRPD.13459.C1_at	
ADXCRPD.4440.C1_at	ALDH1B1
ADXCRPD.4442.C1_at	
ADXCRPD.4443.C1_at	ECSM2
ADXCRAD_BP397865_s_at	ECSM2
ADXCRPD.12801.C1_at	
ADXCRPD.4447.C1_s_at	SFRS17A
ADXCRPD.12802.C1_s_at	MAGI3
ADXCRPD.4448.C1_s_at	CD248
ADXCRPD.12803.C1_at	ARID5B
ADXCRPD.4449.C1_at	ARHGAP8
ADXCRPD.4449.C1_s_at	ARHGAP8
ADXCRPD.13460.C1_at	HERC1
ADXCRPD.13460.C1_s_at	HERC1
ADXCRPD.12804.C1_s_at	MRPL19
ADXCRPD.13461.C1_at	C7orf25
ADXCRPD.12805.C1_at	WSB1
ADXCRPD.13462.C1_at	MRCL3
ADXCRPD.13462.C1_x_at	LOC731412
ADXCRPD.12806.C1_at	CNOT10
ADXCRAD_CX785392_s_at	CNOT10
ADXCRPD.12806.C1_x_at	CNOT10
ADXCRPD.13463.C1_at	
ADXCRPD.13463.C1_x_at	
ADXCRPD.12808.C1_at	
ADXCRPD.12808.C1_s_at	MUC20
ADXCRPD.13465.C1_at	ATP6V1H
ADXCRPD.12809.C1_at	MAGI1
ADXCRPD.4450.C1_at	SFT2D3
ADXCRPD.4451.C1_at	PGGT1B
ADXCRPD.4453.C1_s_at	ABT1
ADXCRPD.4454.C1_at	MMP23A
ADXCRPD.4454.C1_x_at	MMP23B
ADXCRPD.12810.C1_at	CUEDC1
ADXCRPD.4456.C1_x_at	GPR108
ADXCRPD.4457.C1_at	
ADXCRPD.4457.C1_x_at	
ADXCRPD.12812.C1_at	
ADXCRPD.12813.C1_at	MGC15634
ADXCRPD.4459.C1_at	DAG1
ADXCRPD.13470.C1_at	BDH1
ADXCRPD.13471.C1_at	
ADXCRPD.12815.C1_at	GDA
ADXCRPD.13473.C1_at	TBC1D8
ADXCRPD.12817.C1_at	NFAT5
ADXCRPD.12818.C1_at	TFCP2L1
ADXCRPD.13475.C1_at	MAN2B2
ADXCRPD.12819.C1_at	
ADXCRPD.13476.C1_s_at	POLR3E
ADXCRPD.13477.C1_at	CLPTM1L
ADXCRPD.13477.C1_x_at	CLPTM1L
ADXCRPD.13478.C1_at	TP53I11
ADXCRPD.3802.C1_at	CEBPD
ADXCRPD.4460.C1_at	TBX3
ADXCRPD.4461.C1_at	KIF3A
ADXCRPD.4461.C1_x_at	KIF3A
ADXCRPD.3806.C1_at	TNRC15
ADXCRPD.4462.C1_at	
ADXCRPD.3807.C1_at	DHX16
ADXCRPD.4463.C1_s_at	TOMM40
ADXCRPD.3809.C1_at	
ADXCRPD.4465.C1_at	C11orf80
ADXCRAD_BM713618_s_at	C11orf80
ADXCRPD.12820.C1_at	
ADXCRPD.12821.C1_at	FAM13A1
ADXCRAD_BM473030_s_at	ITFG3
ADXCRPD.12822.C1_at	
ADXCRPD.12822.C1_x_at	
ADXCRPD.4468.C1_s_at	CASP4
ADXCRPD.12823.C1_s_at	SYT13
ADXCRPD.4469.C1_x_at	CTSD
ADXCRPD.13480.C1_at	
ADXCRPD.13480.C1_s_at	
ADXCRPD.12824.C1_at	PTK2B
ADXCRPD.12824.C1_x_at	PTK2B
ADXCRPD.12825.C1_at	
ADXCRPD.13482.C1_at	IREB2
ADXCRPD.12826.C1_at	B4GALT1
ADXCRPD.13483.C1_at	C15orf33
ADXCRPD.12827.C1_at	MIRN101-1
ADXCRPD.12828.C1_at	CDYL
ADXCRPD.13485.C1_s_at	PCK1
ADXCRPD.12829.C1_at	FAM83C
ADXCRPD.13487.C1_at	CYBRD1
ADXCRPD.3811.C1_at	RHBDD2
ADXCRPD.3813.C1_at	BRD4
ADXCRAD_BI084318_s_at	BRD4
ADXCRPD.3816.C1_s_at	EGR2
ADXCRPD.4472.C1_at	DKFZp434K1815
ADXCRPD.4473.C1_at	PDPN
ADXCRAD_NM_012472_s_at	LRRC6
ADXCRPD.4474.C1_s_at	CLDN2
ADXCRPD.12830.C1_s_at	LOC96610
ADXCRPD.4476.C1_at	HUWE1
ADXCRPD.12831.C1_at	C4B
ADXCRPD.4477.C1_s_at	MFSD1
ADXCRPD.12832.C1_s_at	
ADXCRPD.4478.C1_at	IHPK2
ADXCRPD.4478.C1_x_at	IHPK2
ADXCRPD.12833.C1_at	MYO1E
ADXCRPD.4479.C1_s_at	NDFIP2
ADXCRPD.13490.C1_at	
ADXCRPD.12834.C1_at	
ADXCRPD.13491.C1_at	GIT2
ADXCRPD.12836.C1_at	PSMD5
ADXCRPD.12836.C1_x_at	PSMD5
ADXCRPD.13493.C1_at	DDX24
ADXCRPD.12837.C1_at	
ADXCRPD.12837.C1_x_at	
ADXCRPD.13494.C1_s_at	PCMTD1
ADXCRPD.13495.C1_at	STAG2
ADXCRPD.13496.C1_at	
ADXCRPD.13496.C1_x_at	
ADXCRPD.13497.C1_at	DSG2
ADXCRAD_BP331746_s_at	DAB2
ADXCRPD.3822.C1_at	LARP2
ADXCRPD.3822.C1_s_at	LARP2
ADXCRPD.3823.C1_at	LOC89944
ADXCRPD.4480.C1_at	TMEM181
