Composite.Element.Name	Composite.Element.Database.Entry[hugo]
ADXCRAG_AB015982_s_at	PRKD3
ADXCRAG_AB016243_at	NTHL1
ADXCRAG_AB016533_s_at	PQBP1
ADXCRAG_AB016794_s_at	HD
ADXCRAG_AB016816_at	MFHAS1
ADXCRAG_AB016840_s_at	CRNKL1
ADXCRAG_AB017165_s_at	PIGL
ADXCRAG_AB017365_at	FZD7
ADXCRAD_BQ001884_s_at	FZD7
ADXCRAG_AB017586_at	NR4A2
ADXCRAG_AB017602_at	PDE9A
ADXCRAG_AB017919_at	PADI4
ADXCRAG_AB017919_x_at	PADI4
ADXCRAG_AB018259_at	DOCK4
ADXCRAG_AB018259_s_at	DOCK4
ADXCRAG_AB018259_x_at	DOCK4
ADXCRAG_AB018269_at	CLSTN3
ADXCRAG_AB018269_x_at	CLSTN3
ADXCRAG_AB018297_at	KIAA0754
ADXCRAG_AB018303_s_at	ZNF423
ADXCRAG_AB018308_s_at	RBM12
ADXCRAG_AB018340_s_at	SENP6
ADXCRAG_AB018413_at	GAB2
ADXCRAD_BQ186653_s_at	GAB2
ADXCRAG_AB018551_at	C16orf7
ADXCRAG_AB018551_x_at	C16orf7
ADXCRAG_AB019210_s_at	PGM2L1
ADXCRAG_AB019397_s_at	TOPBP1
ADXCRAG_AB020335_s_at	SEL1L
ADXCRAG_AB020527_s_at	SLC17A4
ADXCRAG_AB020631_s_at	PCF11
ADXCRAG_AB020635_s_at	KIAA0828
ADXCRAG_AB020698_s_at	USP19
ADXCRAG_AB020706_at	AP2A2
ADXCRAG_AB020706_x_at	AP2A2
ADXCRAG_AB020711_at	CRKRS
ADXCRAG_AB020981_s_at	CCNB2
ADXCRAG_AB021638_s_at	APBA3
ADXCRAG_AB021642_at	ZNF44
ADXCRAG_AB022277_s_at	TINAG
ADXCRAG_AB022529_x_at	APC2
ADXCRAG_AB022657_s_at	CEP170
ADXCRAG_AB023154_s_at	DTX4
ADXCRAD_BM685919_s_at	ATG4B
ADXCRAG_AB023191_x_at	KIAA0974
ADXCRAG_AB023198_at	PIP5K3
ADXCRAD_CB121637_s_at	PIP5K3
RDCR187_F02_s_at	PADI2
ADXCRAG_AB023225_x_at	DIS3
ADXCRAG_AB023483_s_at	STAP1
ADXCRPDRC.13473.C1_s_at	TBC1D8
ADXCRAG_AB024402_s_at	ING1
ADXCRAG_AB024494_s_at	ZDHHC17
ADXCRAG_AB025106_s_at	CDH1
ADXCRAD_BP394281_s_at	IMPACT
ADXCRAG_AB026436_at	DUSP10
ADXCRAG_AB026436_x_at	DUSP10
ADXCRAG_AB026730_s_at	B3GALT4
ADXCRAD_CN364226_s_at	ZNF107
ADXCRAG_AB028449_s_at	DICER1
ADXCRAG_AB028639_s_at	CAPN7
ADXCRAG_AB028913_s_at	DFFB
ADXCRAG_AB028971_s_at	AAK1
ADXCRAD_NM_199436_s_at	SPAST
ADXCRAD_AL535587_s_at	LIMCH1
ADXCRAG_AB029326_s_at	PACS2
ADXCRAG_AB029394_s_at	SEMA4A
ADXCRAG_AB029488_at	C11orf21
ADXCRAD_BX102232_s_at	C11orf21
ADXCRAG_AB030181_x_at	
ADXCRAG_AB030239_s_at	ARHGAP9
ADXCRAD_BM723385_s_at	TCF7L1
ADXCRAG_AB031329_at	PRSS21
ADXCRAG_AB031329_x_at	PRSS21
ADXCRAG_AB032179_at	EPB41L4B
ADXCRAG_AB032179_s_at	EPB41L4B
ADXCRAG_AB032253_x_at	BAZ1B
ADXCRAG_AB032254_at	BAZ2A
ADXCRAG_AB032255_s_at	BAZ2B
ADXCRAG_AB032952_s_at	SLC45A4
ADXCRAG_AB032972_s_at	ASB1
ADXCRAG_AB032974_s_at	TANC2
ADXCRAG_AB032978_s_at	C14orf118
ADXCRAG_AB032987_x_at	KIAA1161
ADXCRAG_AB032989_at	AMIGO1
ADXCRAG_AB033009_at	KIAA1183
ADXCRAG_AB033029_s_at	USP31
ADXCRAG_AB033045_at	KIAA1219
ADXCRAG_AB033045_s_at	KIAA1219
ADXCRAG_AB033055_s_at	ODF2L
ADXCRAG_AB033064_s_at	FAM80B
ADXCRAG_AB033103_at	
ADXCRAG_AB033115_s_at	BIRC6
ADXCRAG_AB035124_s_at	CENPH
ADXCRAG_AB035207_s_at	TOB2
ADXCRAG_AB035698_s_at	MINK1
ADXCRAD_BX097253_s_at	RRM2B
ADXCRAG_AB036829_at	SKIP
ADXCRAD_BM690911_s_at	SKIP
ADXCRAG_AB036931_at	DLL4
ADXCRPDRC.8120.C1_s_at	DLL4
ADXCRAG_AB037187_s_at	CHST7
ADXCRAG_AB037360_s_at	ANKFY1
ADXCRAG_AB037386_at	ING1
ADXCRAG_AB037715_s_at	FRMD4A
ADXCRAG_AB037728_s_at	UBR4
ADXCRAG_AB037732_s_at	RBM27
ADXCRAG_AB037770_at	ZNF624
ADXCRAG_AB037770_x_at	ZNF624
ADXCRAD_CN358178_s_at	IGSF9
ADXCRAG_AB037778_s_at	NHSL1
ADXCRAD_BM820502_s_at	MUC20
ADXCRAG_AB037818_s_at	TULP4
ADXCRAG_AB037864_s_at	HOMEZ
ADXCRAG_AB037886_s_at	ABI3
ADXCRAG_AB037901_at	JMJD2C
ADXCRAD_BX108419_s_at	JMJD2C
ADXCRAD_CK823530_s_at	NFKBIZ
ADXCRAD_CF130395_s_at	COPZ2
ADXCRAG_AB038518_at	COLEC12
ADXCRAD_CD677194_s_at	COLEC12
ADXCRAG_AB039723_s_at	FZD3
ADXCRAG_AB040748_s_at	AQP12B
ADXCRAG_AB040878_at	SEMA5B
ADXCRAG_AB040911_s_at	RACGAP1
ADXCRAG_AB040930_at	LRRN1
ADXCRAD_BG028750_s_at	BTBD7
ADXCRAG_AB041046_s_at	FHOD1
ADXCRAG_AB041533_at	SPECC1
ADXCRAG_AB042825_s_at	RECQL5
ADXCRAG_AB043547_at	SMAD4
ADXCRAG_AB043547_x_at	SMAD4
ADXCRAG_AB043821_s_at	GP6
ADXCRAG_AB044088_at	BHLHB3
ADXCRAG_AB044545_at	OAS3
ADXCRAG_AB044545_x_at	OAS3
ADXCRAG_AB044546_at	WNK2
ADXCRAG_AB044749_x_at	WDR33
ADXCRAG_AB045118_at	FRAT2
ADXCRAG_AB045118_x_at	FRAT2
ADXCRAG_BC015421_s_at	
ADXCRAG_AB046784_s_at	CHD8
ADXCRAD_CB161400_s_at	CASC5
ADXCRAG_AB046794_s_at	FAM29A
ADXCRAG_AB046810_s_at	C20orf23
ADXCRAG_AB046838_at	KIAA1618
